#{"t_start": 1754320814.0610619, "env_id": "None"}
r,l,t
0.062372,400,6.394605
-0.012678,400,6.543084
0.027135,400,6.673689
0.105459,400,6.799839
0.115895,400,6.930944
0.026596,400,13.953908
0.033157,400,14.108905
0.016399,400,14.273783
-0.083692,400,14.408022
-0.031056,400,14.556115
-0.025512,400,22.564978
0.044844,400,22.723478
-0.021886,400,22.858733
-0.072593,400,23.012166
-0.020705,400,23.153961
0.153595,400,30.20683
-0.043561,400,30.374457
0.158703,400,30.492123
-0.05457,400,30.608783
-0.022074,400,30.738987
0.036563,400,38.111319
0.367881,400,38.252017
0.13524,400,38.39095
-0.0288,400,38.532343
0.447666,400,38.664236
0.577543,400,46.010537
-0.299571,400,46.141733
0.386069,400,46.306459
0.486598,400,46.466949
0.570372,400,46.594787
0.15407,400,54.512327
-0.166862,400,54.635527
0.041794,400,54.763338
0.406047,400,54.888234
-0.233386,400,55.009721
-0.123927,400,61.941881
-0.344841,400,62.077473
0.157969,400,62.203149
-0.09772,400,62.331499
-0.291665,400,62.458815
0.121191,400,68.493077
0.0218,400,68.638286
-0.456911,400,68.768169
0.375072,400,68.899321
-0.067949,400,69.030354
-0.068539,400,75.709739
0.426732,400,75.845604
0.36053,400,75.970307
-0.090941,400,76.098325
0.067011,400,76.229018
00,14.728039
-2.295453,400,15.470628
-2.137589,400,15.623527
-0.974534,400,15.751636
10.037545,94,15.784247
0.073399,400,15.913602
-1.014621,400,16.042963
-0.729152,400,16.857953
-0.410788,400,16.994702
-1.200247,400,17.172459
-0.718672,400,17.40444
0.164252,400,17.62156
0.295554,400,18.508918
-0.304951,400,18.693256
10.101618,81,18.723973
-0.715396,400,18.894054
-0.288172,400,19.068526
0.245137,400,19.219172
10.815588,298,20.141183
-1.303742,400,20.320876
0.173664,400,20.474652
-1.404863,400,20.632727
-0.668569,400,20.861309
0.659611,400,21.724355
-0.090963,400,21.970363
0.10816,400,22.231919
0.384136,400,23.209655
-0.692627,400,23.355136
-0.434239,400,24.144318
0.279807,400,24.322624
0.32918,400,24.458809
0.366188,400,24.621476
-0.178494,400,24.785511
0.224073,400,25.593787
-2.206673,400,25.791017
0.092498,400,25.916375
0.075172,400,26.084502
-0.881111,400,26.217817
0.343401,400,27.016458
0.416805,400,27.207762
-2.115454,400,27.363367
-1.484863,400,27.513479
-0.506803,400,27.639821
-1.10155,400,28.275706
-1.133608,400,28.463455
-1.104176,400,28.612088
-0.939286,400,28.824306
-0.742215,400,29.019104
-0.19657,400,29.15191
0.20371,400,29.840383
0.33568,400,29.987005
-0.727458,400,30.791613
-0.798067,400,30.926451
-0.977369,400,31.061505
-0.614801,400,31.782607
-0.381936,400,31.946307
0.14002,400,32.088399
-0.233008,400,32.230158
0.210045,400,32.366544
0.203681,400,33.104171
-1.239106,400,33.261333
-0.053616,400,33.404959
-0.285591,400,33.54826
-0.945003,400,33.720191
0.272223,400,34.537638
-1.159,400,34.732254
-0.292032,400,34.887034
-1.16468,400,35.041368
-0.421966,400,35.189142
0.61439,400,36.025602
0.191284,400,36.285178
-0.100913,400,36.463569
-0.729974,400,36.64844
-0.188574,400,36.807941
-0.954441,400,37.665582
-2.183108,400,37.854648
0.09935,400,38.715789
-0.412256,400,38.847928
-0.032981,400,39.009675
0.232776,400,39.880718
0.340283,400,40.072978
0.033626,400,40.201214
-1.484193,400,40.343917
-1.183139,400,40.500384
0.467324,400,41.319532
-0.668242,400,41.567902
0.402231,400,41.735534
-1.683087,400,41.936369
0.19093,400,42.067539
-1.504703,400,42.198785
0.523866,400,43.021397
-0.06779,400,43.189158
-1.385777,400,43.323799
-0.450878,400,43.453652
0.023703,400,43.581248
10.72107,259,44.270388
0.207952,400,44.460368
10.897905,339,44.579911
-0.504515,400,44.721569
-0.142993,400,44.869644
0.405215,400,45.595842
0.119114,400,45.831579
-1.055599,400,46.712817
0.24536,400,46.849964
-0.827378,400,46.985881
-0.896615,400,47.767689
-0.948207,400,47.990628
-1.106621,400,48.149111
0.228283,400,48.30292
10.32681,372,48.451157
0.30862,400,48.631512
0.341312,400,49.644291
-0.191821,400,49.831647
-1.148628,400,50.023139
-0.443285,400,50.17918
-1.103086,400,50.325175
-1.172721,400,51.178847
0.088529,400,51.32995
0.268659,400,51.470921
-0.861688,400,51.610506
0.088346,400,51.754418
-0.152962,400,52.614928
0.1395,400,52.814978
-0.589057,400,53.002379
0.156369,400,53.15433
0.312442,400,53.344056
0.080885,400,54.319905
-1.051407,400,55.117346
-0.180194,400,55.288164
-0.069849,400,55.468969
-0.736907,400,55.597707
-0.953766,400,56.264791
0.330465,400,56.46657
0.43892,400,56.611897
0.207867,400,56.74995
0.191902,400,56.893814
-0.203022,400,57.665291
-0.216402,400,57.856653
-0.21032,400,57.99675
0.401593,400,58.144941
-0.525803,400,58.288642
-1.22946,400,59.018605
-0.295011,400,59.231821
-1.170218,400,59.373729
-0.979979,400,59.518961
0.320141,400,59.671371
-0.775184,400,60.382486
-1.004495,400,60.586676
-0.452394,400,60.730932
-0.288437,400,60.897695
0.109495,400,61.04134
-0.527954,400,61.182622
-0.168242,400,62.567096
-1.059129,400,62.701578
0.282799,400,62.837592
-0.798676,400,62.974025
0.421826,400,63.134094
-0.192021,400,63.829887
0.124789,400,63.979714
0.339999,400,64.118644
-1.416915,400,64.267713
-0.336856,400,64.406232
-0.18328,400,65.104808
-1.127606,400,65.271255
-1.119884,400,65.417156
0.154686,400,65.553055
0.071195,400,65.691928
0.009354,400,66.406451
-0.707327,400,66.572549
0.265347,400,66.720377
0.163517,400,66.862909
0.079986,400,67.006061
0.198793,400,67.715352
0.373731,400,67.895114
-0.825554,400,68.039296
-0.480941,400,68.179482
0.256397,400,68.317859
-1.342351,400,69.713094
-0.170327,400,69.910022
-1.290045,400,70.051199
-0.684544,400,70.197038
-1.364139,400,70.344937
-0.547889,400,71.059545
-0.961056,400,71.250028
-1.160143,400,71.394902
-0.255898,400,71.533959
0.317174,400,71.675383
-0.099913,400,72.431549
-0.481357,400,72.624302
-1.446917,400,72.761876
0.23683,400,72.896165
-1.738935,400,73.032908
0.226368,400,73.185373
-1.112927,400,73.871834
-0.531754,400,74.011412
-0.918498,400,74.145437
-1.309304,400,74.295356
-1.143618,400,74.43184
-0.673678,400,75.100857
0.228296,400,75.245848
-0.605584,400,75.407913
-0.97307,400,75.542554
-1.094633,400,76.392673
