#{"t_start": 1755679960.2826755, "env_id": "None"}
r,l,t,episode_energy,success
0.014284,400,8.163346,1228.3277978951712,False
10.378721,50,8.179471,38.79397222852858,True
-0.197016,400,8.321135,3917.900658284332,False
15.968014,365,8.441126,8418.497918516134,True
0.204102,400,8.581544,3309.372681714318,False
10.970078,84,14.81769,-34.18778391475764,True
-0.818953,400,14.960323,7555.368887402803,False
11.529769,132,15.006986,2515.759909627788,True
10.05971,284,15.104729,5575.7539850581425,True
-5783454.091745,400,15.251372,715129703517.1138,False
10.460737,22,21.101956,-943.04083883756,True
-637775.050705,400,21.253832,-41602541991.40939,False
-70838.124735,400,21.407333,-2617579636.7494955,False
11.134393,119,21.444214,5424.902663876521,True
-219937.667121,400,21.593492,-98263249864.62749,False
-4673.497764,400,28.423306,2132967140.129397,False
-4906490.403638,400,28.588004,375072229099.7079,False
-915659713.578409,400,28.731896,-1009468269885950.6,False
-58654.816944,400,28.884505,-21600698338.693546,False
-114072078.950101,400,29.043503,34839049793460.22,False
-395031.430963,400,35.419252,-26506963870.040535,False
-750167708.370564,400,35.577565,-598860620588835.4,False
-1204747812.865723,400,35.719831,-354731705007520.6,False
-492097.029617,400,35.871687,10602671772.076818,False
-24316428.604703,400,36.029955,5988123853814.178,False
-476853.99414,400,41.809162,-386845149370.98267,False
-863.325969,400,41.954416,-547315476.0585251,False
0.113781,400,42.086679,49136.45124029338,False
11.366334,117,42.123791,11712.514509310555,True
-1639.501109,400,42.267467,-113586930.33751543,False
-47206.168359,400,47.871996,-5904113726.72238,False
-182568676.792461,400,48.020906,75618386362060.19,False
-749894.313798,400,48.161431,-452178284248.07227,False
-96312724.101838,400,48.299843,-10420456709024.473,False
-16909.75295,400,48.439407,43467273.47620493,False
-79233.507473,400,54.210789,13945842139.278622,False
11.61412,60,54.228917,5264.43184099091,True
-759940.253559,400,54.369862,-564007245219.5112,False
-72460095.549779,400,54.509906,-48046533369823.85,False
-667430.775207,400,54.648924,-291711814489.85535,False
-48396534.625609,400,59.830641,-8917596011695.707,False
-0.029161,400,59.951443,161745.84897033498,False
-732247.26795,400,60.093866,506960654215.31085,False
-272725552.821443,400,60.231622,-137380765889856.05,False
11.200929,350,60.334451,137757.6414646285,True
-138374.779967,400,65.853173,-12788919294.404184,False
-29276001.751158,400,66.005167,1159744769138.3167,False
-4043449.629512,400,66.1409,-1509928147683.8652,False
-2300646.390376,400,66.280908,-1299846127780.9697,False
-309632.873207,400,66.427433,71159538484.29466,False
-15005053.635894,400,71.92348,9699635977908.025,False
-6309090.152553,400,72.111204,-4277994497269.67,False
11.01399,102,72.155656,21997.967819668513,True
-9282.818651,400,72.305691,-240796747.92388082,False
-8334735.089416,400,72.459474,-8676083354028.637,False
-22827.243465,400,79.435679,784780008.8182989,False
-2321381.869863,400,79.590795,1143437061997.281,False
-335880.345004,400,79.756648,-69569064961.52083,False
10.781099,25,79.764988,-7254.708797277185,True
-12056.798248,400,79.913917,-8633111857.683943,False
-4148935.657251,400,85.933188,1027831838927.3184,False
-10882.642257,400,86.107607,6243426096.675912,False
-3552987.116068,400,86.267825,4390182123104.914,False
-516035.691591,400,86.413316,642334564437.864,False
0.274778,400,86.536132,11519.866136738106,False
-7056.213639,400,92.636897,4901449795.49447,False
15.352515,317,92.737526,7065.660137983891,True
-153456.84099,400,92.886306,15375433919.17997,False
-5515315.595337,400,93.032733,422150034052.2827,False
-628165537.64642,400,93.169982,208292609558898.38,False
-405501.856101,400,98.934631,209917411137.38507,False
-247249.396921,400,99.080759,-2667523361.0372915,False
-13297.54771,400,99.224436,-246852606.2713411,False
-7797696.001594,400,99.368952,3368702616855.5327,False
10.702585,158,99.416484,13780.030452300474,True
-135363472.350901,400,105.109149,121596808738863.36,False
-300695.427984,400,105.248377,116968334562.54225,False
-111629.78575,400,105.385962,27645674771.34239,False
-10171946.967518,400,105.522811,-4818310508370.16,False
-428688438.327368,400,105.669756,-109143119566509.48,False
00,38.942861,0.0,False
-0.422172,400,39.085511,0.0,False
-0.42433,400,40.034325,0.0,False
-0.424481,400,40.198893,0.0,False
-0.423411,400,40.341011,0.0,False
-0.423703,400,40.882927,0.0,False
-0.424974,400,41.042139,0.0,False
-0.423487,400,41.184317,0.0,False
-0.423346,400,41.330701,0.0,False
-0.423407,400,41.478405,0.0,False
-0.423622,400,42.051299,0.0,False
-0.422707,400,42.199857,0.0,False
-0.42303,400,42.347996,0.0,False
-0.424025,400,42.490233,0.0,False
-0.423811,400,42.631109,0.0,False
-0.423744,400,43.140914,0.0,False
-0.423295,400,43.292966,0.0,False
-0.42308,400,43.438324,0.0,False
-0.422762,400,43.579419,0.0,False
-0.423613,400,43.721607,0.0,False
-0.422541,400,44.241762,0.0,False
-0.424158,400,44.400483,0.0,False
-0.423955,400,44.542348,0.0,False
-0.42326,400,44.684846,0.0,False
-0.422664,400,44.828195,0.0,False
-0.424299,400,45.343515,0.0,False
-0.423769,400,45.49957,0.0,False
-0.422589,400,46.254209,0.0,False
-0.422451,400,46.386643,0.0,False
-0.423095,400,46.522038,0.0,False
-0.424221,400,47.048651,0.0,False
-0.422545,400,47.207768,0.0,False
-0.423364,400,47.353557,0.0,False
-0.42348,400,47.497214,0.0,False
-0.423197,400,47.636852,0.0,False
-0.423773,400,48.13115,0.0,False
-0.423262,400,48.294717,0.0,False
-0.422777,400,48.439358,0.0,False
-0.423661,400,48.580356,0.0,False
-0.423386,400,48.717957,0.0,False
-0.422665,400,49.207272,0.0,False
-0.421782,400,49.372658,0.0,False
-0.423014,400,49.52172,0.0,False
-0.423075,400,49.662874,0.0,False
-0.423094,400,49.799218,0.0,False
-0.423146,400,50.284771,0.0,False
-0.42162,400,50.443265,0.0,False
-0.422199,400,50.594539,0.0,False
-0.423088,400,50.734497,0.0,False
-0.422159,400,50.879228,0.0,False
-0.421829,400,51.022215,0.0,False
-0.421908,400,51.538358,0.0,False
-0.422533,400,52.419567,0.0,False
-0.422576,400,52.55502,0.0,False
-0.421504,400,52.716231,0.0,False
-0.421776,400,52.867518,0.0,False
-0.421607,400,53.426469,0.0,False
-0.422214,400,53.579896,0.0,False
-0.422321,400,53.728371,0.0,False
-0.423214,400,53.875911,0.0,False
-0.422053,400,54.023904,0.0,False
-0.421928,400,54.534334,0.0,False
-0.422718,400,54.688271,0.0,False
-0.420826,400,54.850977,0.0,False
-0.42272,400,54.992511,0.0,False
-0.421898,400,55.130516,0.0,False
-0.421526,400,55.664001,0.0,False
-0.420694,400,55.845816,0.0,False
-0.421133,400,55.982706,0.0,False
-0.421901,400,56.11992,0.0,False
-0.420509,400,56.256392,0.0,False
-0.421622,400,56.779675,0.0,False
-0.42243,400,56.971708,0.0,False
-0.421708,400,57.107632,0.0,False
-0.421006,400,57.244005,0.0,False
-0.422098,400,57.385931,0.0,False
-0.419684,400,57.868707,0.0,False
-0.421713,400,58.626411,0.0,False
-0.421279,400,58.760711,0.0,False
-0.421674,400,58.897248,0.0,False
-0.421294,400,59.040569,0.0,False
-0.42077,400,59.532779,0.0,False
-0.420075,400,59.687049,0.0,False
-0.420865,400,59.823095,0.0,False
-0.421223,400,59.96371,0.0,False
-0.421028,400,60.107662,0.0,False
-0.420949,400,60.596963,0.0,False
-0.421222,400,60.755652,0.0,False
-0.422223,400,60.894901,0.0,False
-0.421177,400,61.03813,0.0,False
-0.421234,400,61.175179,0.0,False
-0.420914,400,61.325664,0.0,False
-0.419996,400,61.839612,0.0,False
-0.420494,400,61.98483,0.0,False
-0.421273,400,62.131635,0.0,False
-0.42069,400,62.269159,0.0,False
-0.42075,400,62.408653,0.0,False
-0.420201,400,62.943267,0.0,False
-0.420649,400,63.092213,0.0,False
-0.421172,400,63.237366,0.0,False
-0.419979,400,63.378607,0.0,False
-0.420758,400,63.512152,0.0,False
-0.419493,400,64.687977,0.0,False
-0.420126,400,64.842875,0.0,False
-0.420187,400,64.979028,0.0,False
-0.420475,400,65.118699,0.0,False
-0.420006,400,65.254965,0.0,False
-0.419456,400,65.732648,0.0,False
-0.420737,400,65.890501,0.0,False
-0.420737,400,66.024636,0.0,False
-0.419824,400,66.157335,0.0,False
-0.420178,400,66.295654,0.0,False
-0.420818,400,66.809958,0.0,False
-0.419896,400,66.968739,0.0,False
-0.419468,400,67.104463,0.0,False
-0.420877,400,67.241529,0.0,False
-0.420317,400,67.378208,0.0,False
-0.41961,400,67.896353,0.0,False
-0.420311,400,68.055233,0.0,False
-0.418981,400,68.196509,0.0,False
-0.420479,400,68.331194,0.0,False
-0.419639,400,68.468747,0.0,False
-0.419341,400,68.953096,0.0,False
-0.419781,400,69.123281,0.0,False
-0.419719,400,69.256537,0.0,False
-0.419599,400,69.394863,0.0,False
-0.419131,400,69.536702,0.0,False
-0.419565,400,70.730093,0.0,False
-0.419019,400,70.896411,0.0,False
-0.418838,400,71.032049,0.0,False
-0.42,400,71.172248,0.0,False
-0.420196,400,71.30641,0.0,False
-0.419683,400,71.439143,0.0,False
-0.419163,400,71.92971,0.0,False
-0.420084,400,72.076078,0.0,False
-0.419347,400,72.217459,0.0,False
-0.420006,400,72.361026,0.0,False
-0.419179,400,72.496801,0.0,False
-0.419098,400,72.999562,0.0,False
-0.418125,400,73.147939,0.0,False
-0.420496,400,73.292567,0.0,False
-0.418366,400,73.429642,0.0,False
-0.418441,400,73.563395,0.0,False
-0.418507,400,74.088473,0.0,False
-0.41862,400,74.239318,0.0,False
-0.418121,400,74.382717,0.0,False
-0.418801,400,74.516854,0.0,False
-0.418802,400,74.654109,0.0,False
-0.418406,400,75.181563,0.0,False
-0.418041,400,75.334263,0.0,False
-0.418655,400,75.476386,0.0,False
-0.419056,400,75.610147,0.0,False
-0.41886,400,76.457447,0.0,False
-0.418289,400,77.037701,0.0,False
-0.418426,400,77.192729,0.0,False
-0.418686,400,77.350722,0.0,False
-0.418382,400,77.535853,0.0,False
-0.419435,400,77.690965,0.0,False
-0.418278,400,78.315951,0.0,False
-0.417298,400,78.507191,0.0,False
-0.418881,400,78.669726,0.0,False
-0.419138,400,78.839121,0.0,False
-0.419109,400,78.993008,0.0,False
-0.418246,400,79.648942,0.0,False
-0.418476,400,79.890027,0.0,False
-0.417916,400,80.063209,0.0,False
-0.417556,400,80.267894,0.0,False
-0.418385,400,80.438087,0.0,False
-0.418951,400,81.159608,0.0,False
-0.418451,400,81.35062,0.0,False
-0.417653,400,81.506325,0.0,False
-0.41833,400,81.709627,0.0,False
-0.418411,400,81.887148,0.0,False
-0.417842,400,82.535302,0.0,False
-0.41775,400,82.755049,0.0,False
-0.418679,400,82.922216,0.0,False
-0.418521,400,83.101306,0.0,False
-0.417546,400,83.905025,0.0,False
-0.418265,400,84.051402,0.0,False
-0.417486,400,84.623782,0.0,False
-0.418327,400,84.772055,0.0,False
-0.417295,400,84.924995,0.0,False
-0.41841,400,85.076946,0.0,False
-0.417546,400,85.224473,0.0,False
-0.418119,400,85.786606,0.0,False
-0.416668,400,85.945081,0.0,False
-0.418374,400,86.099157,0.0,False
-0.41734,400,86.235354,0.0,False
-0.417697,400,86.410958,0.0,False
-0.418007,400,87.067334,0.0,False
-0.416925,400,87.227342,0.0,False
-0.417436,400,87.363803,0.0,False
-0.41787,400,87.502303,0.0,False
-0.416891,400,87.638957,0.0,False
-0.417482,400,88.193984,0.0,False
-0.417726,400,88.346264,0.0,False
-0.416866,400,88.482547,0.0,False
-0.417479,400,88.618814,0.0,False
-0.41636,400,88.762434,0.0,False
-0.417726,400,89.309169,0.0,False
-0.417447,400,89.477251,0.0,False
-0.417724,400,89.611339,0.0,False
-0.416565,400,90.516277,0.0,False
-0.417016,400,90.658835,0.0,False
-0.417339,400,91.31996,0.0,False
-0.416716,400,91.498921,0.0,False
-0.417593,400,91.631553,0.0,False
-0.417135,400,91.765275,0.0,False
-0.416595,400,91.900867,0.0,False
-0.417139,400,92.525703,0.0,False
-0.416505,400,92.690824,0.0,False
-0.415627,400,92.825309,0.0,False
-0.416205,400,92.964345,0.0,False
-0.416719,400,93.139218,0.0,False
-0.416143,400,93.653967,0.0,False
-0.416805,400,93.8492,0.0,False
-0.415818,400,93.992295,0.0,False
-0.416349,400,94.126468,0.0,False
-0.417434,400,94.260433,0.0,False
-0.416852,400,94.404584,0.0,False
-0.41652,400,95.012079,0.0,False
-0.416576,400,95.1647,0.0,False
-0.415735,400,95.301631,0.0,False
-0.415654,400,95.444967,0.0,False
-0.417037,400,95.583625,0.0,False
-0.415733,400,96.176187,0.0,False
-0.416594,400,96.321806,0.0,False
-0.416257,400,97.144284,0.0,False
-0.416554,400,97.284452,0.0,False
-0.416073,400,97.419686,0.0,False
-0.416604,400,97.950407,0.0,False
-0.415994,400,98.097857,0.0,False
-0.416444,400,98.231467,0.0,False
-0.416286,400,98.376034,0.0,False
-0.416469,400,98.514705,0.0,False
-0.415509,400,99.088464,0.0,False
-0.415182,400,99.240914,0.0,False
-0.416777,400,99.385915,0.0,False
-0.415728,400,99.549016,0.0,False
-0.415699,400,99.696114,0.0,False
-0.415937,400,100.243947,0.0,False
-0.415973,400,100.408638,0.0,False
-0.415588,400,100.545946,0.0,False
-0.415274,400,100.683997,0.0,False
-0.415525,400,100.819489,0.0,False
-0.414997,400,101.359367,0.0,False
-0.415844,400,101.524851,0.0,False
-0.415473,400,101.654639,0.0,False
-0.41538,400,101.789999,0.0,False
-0.414646,400,101.923592,0.0,False
-0.414726,400,102.460896,0.0,False
-0.414961,400,102.625903,0.0,False
-0.415679,400,103.390003,0.0,False
-0.41563,400,103.529616,0.0,False
-0.414639,400,103.667905,0.0,False
-0.414476,400,104.181031,0.0,False
-0.415344,400,104.365198,0.0,False
-0.414735,400,104.496891,0.0,False
-0.414851,400,104.635579,0.0,False
-0.415337,400,104.770336,0.0,False
-0.414593,400,104.907362,0.0,False
-0.41474,400,105.463977,0.0,False
-0.414968,400,105.603222,0.0,False
-0.414597,400,105.74166,0.0,False
-0.415099,400,105.874848,0.0,False
-0.414856,400,106.009482,0.0,False
-0.414828,400,106.565986,0.0,False
-0.414689,400,106.710425,0.0,False
-0.415127,400,106.845467,0.0,False
-0.415062,400,106.97708,0.0,False
-0.414199,400,107.108341,0.0,False
-0.414206,400,107.701984,0.0,False
-0.414442,400,107.855533,0.0,False
-0.414239,400,107.986318,0.0,False
-0.414814,400,108.117148,0.0,False
-0.414192,400,108.248216,0.0,False
-0.414354,400,108.780557,0.0,False
