#{"t_start": 1754319070.963593, "env_id": "None"}
r,l,t
0.258333,400,7.45489
-0.078361,400,7.6347
0.611445,400,7.800789
0.440223,400,7.966226
0.492759,400,8.1345
0.195001,400,15.569494
0.197322,400,15.728504
0.130355,400,15.888454
0.075296,400,16.049704
0.150803,400,16.210499
-0.325846,400,23.96896
0.27849,400,24.161473
0.104495,400,24.329741
-0.385761,400,24.497274
0.107519,400,24.660678
0.481823,400,33.42578
-0.235971,400,33.645616
0.471305,400,33.853631
-0.164774,400,34.066698
-0.278679,400,34.274318
-1.101231,400,42.120029
0.554575,400,42.283762
-0.628318,400,42.449008
-0.776052,400,42.620383
0.483737,400,42.788423
-0.869866,400,50.133063
0.483271,400,50.298064
-0.933923,400,50.464556
0.154322,400,50.645305
0.41404,400,50.812632
0.083871,400,58.097591
-1.194735,400,58.268006
-0.182815,400,58.444563
0.294721,400,58.608983
-0.370303,400,58.76536
-0.201014,400,65.960064
-1.112106,400,66.144956
-0.053319,400,66.309777
-0.309637,400,66.478721
-0.619907,400,66.653153
-0.095204,400,73.4779
-0.190618,400,73.637476
-1.053685,400,73.810847
0.266339,400,73.975053
-0.483315,400,74.137783
0.445288,400,81.654977
0.389827,400,81.821177
-0.46976,400,81.988656
0.11949,400,82.155675
-1.186906,400,82.320099
400,16.26633
-1.162141,400,16.467903
-0.839222,400,17.200397
-0.828647,400,17.391809
-2.039979,400,17.59472
-1.385033,400,17.774277
0.601383,400,17.952752
0.223652,400,18.633082
-0.481393,400,18.81433
-0.813569,400,18.994141
-0.027908,400,19.181418
0.495668,400,19.36007
0.430049,400,20.05877
-0.489411,400,20.246107
-0.67143,400,20.428583
-0.041699,400,20.606871
-0.354138,400,20.816173
0.293885,400,21.683327
-1.226946,400,21.923033
0.283619,400,22.117773
-0.704783,400,22.310407
-0.291703,400,22.491437
0.247485,400,23.268313
0.023626,400,23.470329
0.341715,400,23.660325
0.361757,400,24.718991
10.119241,288,24.857244
-0.751724,400,25.56138
-0.084691,400,25.759854
0.33443,400,25.951283
-0.59839,400,26.135656
0.326757,400,26.355966
0.446196,400,26.564599
10.13375,253,27.25655
-1.529701,400,27.480071
0.23347,400,27.695968
-0.097358,400,27.911394
-0.931094,400,28.118936
-0.467138,400,28.918846
0.399279,400,29.149695
-0.732381,400,29.352657
-0.713855,400,29.559988
-0.405193,400,29.776296
-0.299601,400,30.789467
-0.374502,400,31.039637
-0.431835,400,31.267165
10.336656,254,31.398978
-0.269559,400,31.618489
-0.010175,400,31.871506
0.479222,400,32.775685
0.243564,400,33.019772
-0.362186,400,34.331239
-0.481238,400,34.540082
-0.48599,400,34.737404
-0.354294,400,35.533469
-0.584737,400,35.733487
0.163287,400,35.924612
-0.255643,400,36.115508
0.010209,400,36.332036
0.295484,400,37.1087
-1.35623,400,37.317475
0.013639,400,37.507623
-1.113564,400,37.688941
-0.558282,400,37.879039
0.231375,400,38.692132
-1.001728,400,38.88263
-0.286828,400,39.072656
-1.052955,400,39.2634
-0.416214,400,39.457146
0.12961,400,40.153654
0.436225,400,40.342208
0.34893,400,40.534365
-0.185218,400,40.738508
-0.443478,400,40.920756
-0.964231,400,41.598135
-1.255957,400,41.810072
0.077751,400,42.850549
-0.411563,400,43.043474
-0.0656,400,43.222095
0.372893,400,43.886537
0.335719,400,44.078269
0.288161,400,44.267724
-1.398919,400,44.453466
-1.434516,400,44.63591
0.20714,400,45.334342
-0.136334,400,45.532354
0.347822,400,45.714669
-0.851864,400,45.894612
0.267961,400,46.076037
-0.725648,400,46.28426
0.340907,400,46.945007
0.25664,400,47.129599
-1.422556,400,47.336942
-0.323793,400,47.516561
0.101184,400,47.699645
-0.013432,400,48.386466
0.313176,400,48.573971
0.115736,400,48.758896
-0.89849,400,48.939681
0.2485,400,49.125652
0.392415,400,49.822306
0.033127,400,50.868229
-0.274649,400,51.05639
0.289701,400,51.235358
-1.117562,400,51.414365
-0.29674,400,52.100948
-0.990815,400,52.290103
-0.407887,400,52.472828
0.311614,400,52.652025
-0.581158,400,52.850774
0.121903,400,53.511418
-0.338277,400,53.70136
-1.109484,400,53.891814
0.090568,400,54.089744
-0.713054,400,54.274203
-0.666706,400,54.966856
0.176521,400,55.164032
0.335902,400,55.34795
-0.898559,400,55.526077
0.305402,400,55.705334
-0.288196,400,56.372726
0.058234,400,56.549237
-0.303795,400,56.725199
0.170031,400,56.907043
0.690975,400,57.087939
0.284355,400,57.769064
-1.15035,400,58.815907
-0.564397,400,59.003279
-0.070987,400,59.190362
-0.861398,400,59.378366
-0.87861,400,59.573523
-0.919924,400,60.247083
0.300657,400,60.439841
0.070819,400,60.645785
0.175871,400,60.826881
0.232877,400,61.007682
-0.076753,400,61.671322
0.193588,400,61.853388
-0.581834,400,62.037942
0.276598,400,62.218749
-1.036966,400,62.40382
-0.5324,400,63.041086
0.16541,400,63.224917
10.07866,88,63.266263
-1.071934,400,63.445749
0.297352,400,63.630359
0.090142,400,63.820458
0.300513,400,64.482691
-0.102052,400,64.667474
-0.509961,400,64.857672
-0.185012,400,65.058902
0.291289,400,65.242486
-0.631888,400,66.752193
-0.964547,400,66.934306
0.362751,400,67.130218
-0.832287,400,67.325698
0.209405,400,67.506343
-0.224968,400,68.186439
0.163583,400,68.385921
0.321003,400,68.569674
-0.927688,400,68.749138
-0.376,400,68.932641
0.051997,400,69.612366
-0.868905,400,69.806774
-1.263344,400,69.986864
0.14198,400,70.169983
0.030538,400,70.355549
0.062653,400,71.045996
-0.45586,400,71.238813
0.267962,400,71.421932
0.073132,400,71.619736
0.088562,400,71.798311
0.329546,400,72.462488
0.287671,400,72.664109
-0.547615,400,72.847834
-0.746777,400,73.029526
0.198491,400,73.215138
-1.257328,400,74.726527
-0.262293,400,74.940938
-1.270309,400,75.116876
-0.729999,400,75.300977
-1.02146,400,75.493758
-0.478599,400,76.179342
-0.717696,400,76.385898
-0.465109,400,76.570721
-0.650919,400,76.752979
0.253532,400,76.936061
-0.211877,400,77.139561
0.320402,400,77.8366
0.045777,400,78.022527
-1.025655,400,78.224956
0.348162,400,78.40433
-1.209793,400,78.620249
0.319663,400,79.372598
-0.833387,400,79.560115
-1.197559,400,79.743777
-1.248877,400,79.927602
-1.272298,400,80.110541
-0.662152,400,80.822336
0.16495,400,81.011135
-0.565999,400,81.199985
-0.699243,400,81.383767
10.155615,135,81.448032
-0.478711,400,82.480928
